generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
11,6000,749,749,518.933,476.537,1512.608,370.09,13.872,51.64,0.23381,0.37518,0.215,749,0.51245,48,12.21,0.3752,0.18084,2871,17675.065,0.01477,0.02573,0.00427,0.02146,0.01973,95101,99341,2.30762,0.02752,3922,30811.231,267,0.02017,0.01603,0.02414,-0.00811,-0.00741,792,798,220,223,0,0,0,0,0.036959,0.047196,0.0,0.4891,0.37631,2447,424,0.5444,0.2088,1.2519,0.6955,1.7176,1.3879,0.2829,1.2718,0.7875,0.3551
12,6500,725,725,518.211,450.235,1363.338,369.84,13.812,43.714,0.23295,0.3736,0.21364,725,0.46474,42,9.764,0.4359,0.22754,2814,17585.984,0.01448,0.02417,0.00441,0.01976,0.01799,99055,95267,2.27643,0.03092,3609,29002.281,233,0.01857,0.01491,0.02238,-0.00747,-0.00665,799,775,216,249,0,0,0,0,0.038153,0.048513,0.0,0.50975,0.36534,2394,420,0.5449,0.2116,1.2914,0.7074,1.7451,1.4007,0.2857,1.2505,0.8012,0.3513
13,7000,748,748,522.269,485.162,1370.763,372.67,13.885,37.015,0.23775,0.37458,0.21219,748,0.46608,43,8.818,0.4599,0.24472,2218,13738.741,0.01137,0.01807,0.00339,0.01469,0.01338,106004,89101,2.24745,0.02254,4082,31592.512,284,0.02092,0.01703,0.02556,-0.00853,-0.00757,769,792,188,216,0,0,0,0,0.037055,0.036735,0.0,0.54332,0.39535,1916,302,0.5579,0.2154,1.2971,0.7222,1.7378,1.4305,0.2842,1.241,0.798,0.3624
14,7500,762,762,521.137,465.367,1379.004,372.37,13.852,43.5,0.23823,0.37287,0.21205,762,0.46944,35,7.854,0.4856,0.26711,2269,13973.832,0.01165,0.01836,0.00341,0.01495,0.01342,107357,87394,2.27332,0.01498,3404,26765.517,230,0.01748,0.01439,0.02127,-0.00688,-0.00666,758,772,187,243,0,0,0,0,0.036149,0.036677,0.0,0.55125,0.3877,1971,298,0.5619,0.2249,1.3253,0.7221,1.7564,1.4292,0.283,1.2331,0.8092,0.3619
15,8000,764,764,536.636,498.579,1345.231,386.36,14.115,39.499,0.23364,0.36459,0.20843,764,0.43717,32,6.872,0.5366,0.31117,2116,12967.355,0.01053,0.01677,0.00348,0.01329,0.01235,106633,94372,2.26105,0.0156,2440,18407.884,135,0.01214,0.01071,0.01375,-0.00304,-0.0028,702,704,199,264,0,0,0,0,0.035957,0.033946,0.0,0.5305,0.31841,1788,328,0.569,0.2237,1.3643,0.7132,1.7752,1.4609,0.2869,1.2193,0.8221,0.3606
16,8500,751,751,550.016,531.875,1392.073,397.83,14.349,41.297,0.23684,0.36497,0.20725,751,0.42373,35,6.675,0.5433,0.31982,1655,10134.066,0.0083,0.0122,0.00365,0.00856,0.00765,108401,91031,2.2662,0.01813,2037,14487.538,113,0.01021,0.00915,0.01148,-0.00233,-0.00204,673,660,166,292,0,0,0,0,0.036356,0.026988,0.0,0.54355,0.32893,1323,332,0.5784,0.2236,1.3763,0.7155,1.7971,1.4649,0.2915,1.2005,0.8238,0.3641
17,9000,763,763,507.267,464.548,1369.803,363.21,13.296,41.047,0.24108,0.37346,0.21128,763,0.43392,38,6.73,0.54,0.31894,1901,11762.722,0.00982,0.01458,0.00376,0.01081,0.0095,108455,85035,2.3218,0.02262,2603,19750.538,145,0.01345,0.01309,0.01391,-0.00082,-0.00065,686,698,149,291,0,0,0,0,0.035936,0.030833,0.0,0.56052,0.35471,1581,320,0.5865,0.2311,1.3758,0.7125,1.8042,1.4522,0.2833,1.1986,0.827,0.3625
18,9500,736,736,542.931,534.059,1356.955,391.41,14.22,39.051,0.23745,0.375,0.2136,736,0.42821,34,6.734,0.5448,0.32194,1830,11299.405,0.00924,0.01396,0.00353,0.01044,0.00942,108428,89591,2.27543,0.01913,2642,21851.163,179,0.01334,0.01038,0.01692,-0.00654,-0.00615,706,679,181,248,0,0,0,0,0.037071,0.030705,0.0,0.54756,0.33275,1514,316,0.5849,0.2119,1.3888,0.7245,1.8155,1.4533,0.286,1.1737,0.8246,0.3502
19,10000,727,727,512.267,483.621,1391.772,365.41,13.553,42.688,0.23676,0.37803,0.22101,727,0.47394,37,6.936,0.5213,0.302,1615,10047.09,0.00847,0.01236,0.00274,0.00963,0.0089,113550,77104,2.30025,0.00991,3497,29591.308,244,0.01834,0.01374,0.02512,-0.01138,-0.0108,766,757,148,275,0,0,0,0,0.037611,0.02764,0.0,0.59558,0.4206,1404,211,0.5781,0.2167,1.3909,0.7222,1.842,1.4617,0.2906,1.1621,0.8219,0.3424
20,10500,746,746,526.309,478.502,1369.964,375.68,14.013,41.655,0.23565,0.38242,0.21274,746,0.40232,39,6.819,0.5147,0.30034,1625,9909.11,0.00836,0.01267,0.0024,0.01027,0.0092,112796,81637,2.27437,0.02215,3815,32440.838,308,0.01962,0.01162,0.03067,-0.01905,-0.01796,792,811,175,231,0,0,0,0,0.037282,0.026566,0.0,0.58013,0.39989,1429,196,0.5751,0.2073,1.4103,0.7399,1.8626,1.4248,0.2901,1.1663,0.8115,0.3322
21,11000,742,742,510.651,446.902,1296.232,365.42,13.487,40.948,0.2292,0.37638,0.21491,742,0.46071,34,5.988,0.5701,0.34915,1670,10234.735,0.00862,0.01239,0.00324,0.00915,0.00829,113840,79930,2.25767,0.01018,3977,33846.004,326,0.02052,0.01438,0.02928,-0.0149,-0.01365,810,806,180,232,0,0,0,0,0.037204,0.027587,0.0,0.5875,0.36621,1411,259,0.5446,0.2051,1.4483,0.7288,1.8642,1.4682,0.2783,1.1506,0.8222,0.3444
22,11500,763,763,523.147,475.449,1361.235,374.77,13.906,38.243,0.22793,0.37412,0.20958,763,0.41101,30,5.061,0.6081,0.39272,1850,11130.568,0.00964,0.01403,0.00252,0.01151,0.01065,118667,73292,2.31707,0.05027,4088,32206.781,280,0.0213,0.01735,0.02768,-0.01033,-0.00966,749,770,148,234,0,0,0,0,0.03645,0.029176,0.0,0.61819,0.37128,1665,185,0.5472,0.2081,1.4561,0.73,1.8697,1.4863,0.2846,1.1319,0.8252,0.3477
23,12000,773,773,499.103,436.374,1408.839,353.58,13.409,44.571,0.2186,0.36834,0.21867,773,0.4396,28,4.407,0.6378,0.42923,1424,8664.62,0.0079,0.0108,0.0027,0.0081,0.00722,115767,64463,2.23676,0.01545,4075,31436.935,277,0.02261,0.01985,0.02757,-0.00772,-0.00756,752,762,159,246,0,0,0,0,0.0355,0.022418,0.0,0.64233,0.37335,1250,174,0.534,0.2056,1.4703,0.7332,1.8712,1.4961,0.2689,1.105,0.8252,0.3517
