generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
11,6000,745,745,512.884,457.135,1332.591,365.33,13.639,34.23,0.20532,0.34563,0.21536,745,0.42399,66,43.023,0.0537,0.0286,1439,8891.411,0.00782,0.04791,0.00672,0.04119,0.04122,4905,179193,2.29849,0.03266,3194,30174.308,263,0.01735,0.03384,0.0169,0.01695,0.01689,789,774,161,241,0,0,0,0,0.036869,0.02387,0.0,0.02664,-0.00201,235,1204,0.6117,0.1758,0.9978,0.7199,1.6473,1.3039,0.3866,1.2545,0.7916,0.2823
12,6500,750,750,529.556,499.538,1368.756,378.07,13.993,47.391,0.2124,0.3492,0.21103,750,0.38735,65,40.018,0.052,0.03147,1530,9214.184,0.0081,0.032,0.00742,0.02458,0.02464,5282,183525,2.23546,0.02484,2721,25181.105,217,0.01441,0.02215,0.01419,0.00796,0.00795,714,719,164,248,0,0,0,0,0.036704,0.024571,0.0,0.02798,-0.00361,169,1361,0.6126,0.1805,0.9993,0.7296,1.648,1.3065,0.3913,1.2633,0.7903,0.2808
13,7000,742,742,520.957,489.468,1386.106,372.91,13.661,44.008,0.22008,0.35271,0.21682,742,0.38958,59,37.156,0.062,0.03339,1347,8288.172,0.00726,0.03327,0.0064,0.02687,0.02685,5921,179577,2.24443,0.01782,3063,29804.32,265,0.01651,0.02466,0.01624,0.00841,0.00842,734,726,134,245,0,0,0,0,0.036723,0.02234,0.0,0.03192,-0.00152,197,1150,0.6017,0.1771,0.9935,0.721,1.6278,1.3328,0.399,1.2678,0.7737,0.2966
14,7500,748,748,522.151,473.727,1332.758,374.04,13.771,37.722,0.22147,0.35642,0.21077,748,0.43826,61,36.887,0.0735,0.03511,1435,8769.743,0.00748,0.03393,0.00658,0.02735,0.02725,6307,185544,2.22602,0.01742,3501,32370.811,284,0.01825,0.03203,0.01778,0.01425,0.01423,762,768,151,242,0,0,0,0,0.036925,0.023449,0.0,0.03287,-0.00232,214,1221,0.6141,0.1909,0.9996,0.7262,1.6495,1.3181,0.4034,1.2657,0.7837,0.2856
15,8000,755,755,522.879,464.5,1424.591,374.21,13.832,49.319,0.22578,0.36166,0.21476,755,0.43261,57,34.46,0.0649,0.03605,1567,9589.355,0.00846,0.03842,0.00737,0.03105,0.03103,6533,178606,2.23848,0.01021,3069,28266.033,234,0.01658,0.02893,0.01612,0.01281,0.01275,737,744,167,248,0,0,0,0,0.036325,0.025402,0.0,0.03529,-0.00079,251,1316,0.6252,0.1993,1.0007,0.7335,1.6469,1.3011,0.4006,1.2615,0.7865,0.2824
16,8500,729,729,539.591,497.461,1390.616,386.85,14.201,39.125,0.22897,0.36696,0.2097,729,0.38344,56,32.745,0.07,0.03851,1609,9553.325,0.00848,0.03642,0.0074,0.02902,0.02902,7057,182760,2.24096,0.02362,2880,26135.427,214,0.01517,0.02494,0.0148,0.01014,0.01016,736,710,170,246,0,0,0,0,0.037885,0.026209,0.0,0.03718,-0.00139,257,1352,0.6053,0.1894,0.9948,0.7369,1.6189,1.3365,0.3893,1.298,0.7755,0.3115
17,9000,780,780,526.658,479.884,1375.71,377.84,13.855,48.387,0.23086,0.37011,0.20893,780,0.39243,54,30.451,0.0885,0.04176,1280,7656.996,0.00691,0.03042,0.00593,0.02449,0.02457,7430,177773,2.23795,0.02344,2685,23191.914,181,0.0145,0.02571,0.01403,0.01168,0.0117,679,730,148,251,0,0,0,0,0.035245,0.019633,0.0,0.04012,-0.00171,226,1054,0.5963,0.189,0.9978,0.7566,1.6124,1.3105,0.3861,1.327,0.7678,0.3246
18,9500,750,750,547.396,517.887,1348.477,394.58,14.324,35.336,0.23287,0.37359,0.20998,750,0.43278,50,28.894,0.0813,0.04363,1314,7713.953,0.00698,0.03133,0.00591,0.02542,0.02543,7916,180256,2.23539,0.0137,2500,20455.432,154,0.01329,0.02476,0.01278,0.01198,0.01195,682,652,157,270,0,0,0,0,0.036232,0.020571,0.0,0.04207,-0.00163,248,1066,0.6042,0.1898,1.014,0.767,1.6298,1.2855,0.3834,1.3075,0.7784,0.3171
19,10000,753,753,530.763,493.367,1350.831,381.55,13.954,39.122,0.23948,0.37648,0.21059,753,0.40689,49,28.046,0.1023,0.0461,1267,7502.059,0.00687,0.02939,0.00582,0.02357,0.02365,8268,176047,2.20046,0.02447,2732,22289.868,172,0.01482,0.02758,0.01422,0.01335,0.01329,680,683,127,272,0,0,0,0,0.036308,0.019926,0.0,0.04486,-0.0013,243,1024,0.6053,0.1995,1.0041,0.7694,1.6016,1.2887,0.3953,1.3174,0.774,0.3211
20,10500,769,769,511.169,463.963,1342.016,364.32,13.516,43.239,0.24008,0.38073,0.21357,769,0.40946,51,26.857,0.0936,0.04953,1240,7427.425,0.00697,0.02711,0.00597,0.02114,0.02126,8448,169357,2.24364,0.02258,3035,25358.794,199,0.01707,0.02273,0.01679,0.00594,0.00585,717,733,139,256,0,0,0,0,0.035617,0.019317,0.0,0.04751,-0.00212,229,1011,0.6056,0.2177,1.0056,0.776,1.5896,1.2942,0.4009,1.3167,0.7753,0.3239
21,11000,753,753,543.909,504.989,1351.213,391.68,14.276,37.07,0.24258,0.38434,0.20623,753,0.35667,51,27.879,0.093,0.04663,1360,8130.539,0.00725,0.03077,0.00609,0.02468,0.02465,8808,178823,2.26833,0.02426,3014,26279.368,199,0.01606,0.02021,0.01586,0.00435,0.00438,698,682,146,236,0,0,0,0,0.036507,0.021595,0.0,0.04694,0.00033,271,1089,0.602,0.2113,1.0095,0.7762,1.6139,1.2798,0.3841,1.3234,0.7714,0.3309
22,11500,752,752,531.628,470.671,1395.564,380.34,14.1,42.883,0.24188,0.389,0.21363,752,0.4098,44,26.244,0.1011,0.0489,1151,6750.968,0.00664,0.03374,0.00535,0.0284,0.02843,7883,165499,2.21578,0.01651,3021,24911.874,184,0.01742,0.02804,0.01692,0.01112,0.01117,682,681,128,259,0,0,0,0,0.036072,0.017955,0.0,0.04547,-0.00361,266,885,0.5875,0.2088,1.0104,0.7779,1.617,1.2679,0.3728,1.3352,0.7714,0.3423
23,12000,787,787,512.736,466.162,1332.107,364.4,13.679,36.122,0.24277,0.39392,0.2059,787,0.36218,42,23.683,0.1245,0.05582,1252,7375.091,0.00698,0.02766,0.00588,0.02178,0.02188,9075,170374,2.21726,0.02875,3243,26263.256,188,0.01807,0.03129,0.01737,0.01393,0.01384,670,705,109,259,0,0,0,0,0.035186,0.018742,0.0,0.05057,-0.00556,251,1001,0.5808,0.2115,1.0138,0.7734,1.6185,1.2795,0.3821,1.3295,0.7718,0.3426
