generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_predator,predator_strikes,predator_kills,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
11,6000,700,700,469.743,406.483,1483.684,316.79,12.914,52.299,0.15051,0.24582,0.24794,700,0.50159,51,33.084,0.0986,0.03985,10272,63424.032,0.05277,0.05754,0.0526,0.00494,0.00449,6743,187900,1.49414,0.01217,9587,59445.582,371,0.04925,0.04835,0.04929,-0.00094,-0.00057,913,913,0,0,0,0.0,0.03464,-0.00542,388,9884,0.5103,0.2219,1.0934,0.711,1.7287,1.2961,0.4526,1.0959,0.9276,0.3822
12,6500,700,700,505.015,483.585,1420.448,340.94,14.184,51.167,0.15382,0.25264,0.24361,700,0.49828,52,33.014,0.0971,0.04151,9725,59161.227,0.05005,0.06502,0.0494,0.01562,0.01528,8059,186251,1.45236,0.01152,9574,60910.533,370,0.04927,0.04058,0.04965,-0.00907,-0.00896,855,855,0,0,0,0.0,0.04147,-4e-05,524,9201,0.5056,0.2277,1.0935,0.7053,1.7229,1.3012,0.4615,1.0939,0.9231,0.3832
13,7000,700,700,530.877,492.198,1424.028,360.31,15.029,43.272,0.15489,0.25749,0.24054,700,0.50049,53,30.644,0.0929,0.04372,8286,50064.614,0.04239,0.05899,0.04167,0.01732,0.01724,8120,187349,1.43191,0.01062,8734,55175.055,291,0.04468,0.03793,0.04497,-0.00704,-0.00695,759,759,0,0,0,0.0,0.04154,-0.00228,479,7807,0.4969,0.2178,1.1039,0.6859,1.71,1.3262,0.4481,1.0909,0.9202,0.3952
14,7500,700,700,480.435,431.166,1314.792,325.2,13.31,42.754,0.15351,0.26325,0.24128,700,0.47135,51,29.319,0.1043,0.04776,7749,46921.632,0.0407,0.04861,0.04032,0.00829,0.00848,8599,181808,1.48943,0.01045,9063,58551.313,350,0.0476,0.04431,0.04775,-0.00345,-0.00364,863,863,0,0,0,0.0,0.04516,-0.00273,418,7331,0.4942,0.223,1.1077,0.6875,1.7016,1.3339,0.4522,1.0835,0.9202,0.4059
15,8000,700,700,464.687,410.752,1380.308,314.52,12.994,46.389,0.15351,0.26896,0.2387,700,0.50755,53,28.821,0.0971,0.04856,6267,37739.967,0.0323,0.03975,0.03194,0.00781,0.00772,8855,185169,1.5966,0.0134,9635,64835.223,461,0.04966,0.04675,0.0498,-0.00304,-0.00282,928,928,0,0,0,0.0,0.04564,-0.00307,352,5915,0.4924,0.2166,1.1216,0.6761,1.6952,1.3384,0.4659,1.081,0.913,0.4107
16,8500,700,700,501.621,483.368,1457.059,342.0,13.91,49.394,0.15569,0.27231,0.24245,700,0.50159,51,28.268,0.1243,0.05262,5786,35051.84,0.03012,0.03914,0.02967,0.00948,0.00961,9248,182831,1.56796,0.01054,8494,56015.595,368,0.04422,0.0425,0.04431,-0.00181,-0.00186,837,837,0,0,0,0.0,0.04815,-0.00472,362,5424,0.4939,0.2181,1.1273,0.668,1.7034,1.3438,0.4601,1.0668,0.8974,0.4049
17,9000,700,700,534.079,487.676,1378.488,364.6,14.96,39.535,0.15728,0.27518,0.23953,700,0.54375,51,28.246,0.1257,0.05471,5148,31187.692,0.02784,0.03485,0.02746,0.0074,0.00751,9640,175267,1.50171,0.0103,7165,45764.978,249,0.03875,0.04118,0.03862,0.00257,0.00255,702,702,0,0,0,0.0,0.05213,-0.00272,336,4812,0.4984,0.2079,1.1327,0.6554,1.6959,1.3533,0.46,1.0647,0.8894,0.4065
18,9500,700,700,585.071,570.994,1351.506,399.71,16.575,47.601,0.15722,0.27913,0.23737,700,0.50049,55,26.761,0.1186,0.05663,4989,30105.511,0.02648,0.03337,0.02608,0.00729,0.00758,10368,178011,1.41717,0.01062,5106,31817.131,173,0.0271,0.0271,0.02711,-0.0,-0.00014,640,640,0,0,0,0.0,0.05504,-0.00169,346,4643,0.4842,0.1968,1.1334,0.6572,1.7119,1.3631,0.4477,1.0644,0.8791,0.3992
19,10000,700,700,541.278,498.239,1405.779,369.61,15.088,43.925,0.15707,0.28461,0.23649,700,0.45612,48,26.176,0.1271,0.05594,4949,29951.916,0.02724,0.03245,0.02694,0.00551,0.00585,9830,171860,1.49245,0.01152,5854,36149.061,185,0.03222,0.03113,0.03228,-0.00115,-0.00119,697,697,0,0,0,0.0,0.0541,-0.00195,319,4630,0.4811,0.2005,1.1342,0.6621,1.7233,1.3734,0.448,1.0604,0.8806,0.4056
20,10500,700,700,557.863,532.989,1433.586,382.13,15.521,46.208,0.16108,0.28848,0.24097,700,0.51441,47,27.354,0.1014,0.05054,5187,32142.32,0.02863,0.03501,0.02828,0.00673,0.00665,9340,171850,1.51201,0.01157,5050,31728.605,154,0.02787,0.02805,0.02786,0.00019,0.00023,644,644,0,0,0,0.0,0.05155,0.00106,327,4860,0.485,0.2112,1.1456,0.6652,1.7166,1.3627,0.4418,1.0771,0.8738,0.3929
21,11000,700,700,512.718,486.636,1379.327,350.04,14.23,40.989,0.1632,0.29089,0.23948,700,0.50594,49,27.484,0.1286,0.05315,5103,31187.583,0.02765,0.03592,0.02721,0.00871,0.00843,9355,175212,1.49081,0.01137,5596,36160.143,199,0.03032,0.02843,0.03042,-0.00199,-0.0019,712,712,0,0,0,0.0,0.05069,-0.0026,336,4767,0.4686,0.2096,1.1279,0.6503,1.7256,1.376,0.4426,1.0684,0.8641,0.3759
22,11500,700,700,522.836,484.204,1332.109,358.18,14.491,39.256,0.1628,0.29435,0.24142,700,0.50049,48,27.425,0.0957,0.05207,4625,27670.376,0.0254,0.02939,0.02519,0.0042,0.00437,9222,172850,1.52479,0.01081,5554,37161.191,190,0.0305,0.02895,0.03059,-0.00163,-0.00175,667,667,0,0,0,0.0,0.05065,-0.0015,271,4354,0.4715,0.2009,1.131,0.6611,1.7423,1.381,0.4337,1.0534,0.864,0.386
23,12000,700,700,539.654,510.473,1384.833,368.54,15.037,47.257,0.16389,0.29771,0.23684,700,0.49939,49,25.915,0.1271,0.05707,3924,23552.477,0.02156,0.02587,0.02132,0.00455,0.00455,9510,172500,1.51507,0.00994,5662,38185.801,211,0.03111,0.03396,0.03095,0.00301,0.00302,683,683,0,0,0,0.0,0.05225,-0.00511,246,3678,0.4713,0.1953,1.1178,0.6534,1.7509,1.3812,0.4386,1.0477,0.8603,0.3971
