generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_predator,predator_strikes,predator_kills,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
11,6000,700,700,548.84,488.432,1432.641,370.26,15.525,51.317,0.14843,0.2392,0.24489,700,0.48104,44,18.562,0.2571,0.09763,12297,78691.441,0.06678,0.09719,0.04935,0.04784,0.03823,67087,117065,1.34801,0.01496,6236,39574.891,199,0.03386,0.02254,0.04035,-0.01782,-0.01649,766,766,0,0,0,0.0,0.3643,0.29552,6520,5777,0.5483,0.2272,1.1193,0.7265,1.6792,1.29,0.4169,1.0908,0.9323,0.3849
12,6500,700,700,545.687,493.497,1356.34,368.64,15.447,49.802,0.15032,0.24314,0.24728,700,0.47624,43,17.621,0.2657,0.10301,9702,61434.299,0.0546,0.07778,0.03909,0.03869,0.03003,71254,106430,1.36959,0.01319,5598,35026.5,174,0.03151,0.02015,0.03911,-0.01895,-0.01872,725,725,0,0,0,0.0,0.40102,0.33223,5542,4160,0.5504,0.223,1.1132,0.7177,1.6817,1.2928,0.4032,1.1023,0.9234,0.3695
13,7000,700,700,556.61,564.407,1337.424,377.57,15.722,41.302,0.15173,0.24425,0.24621,700,0.51545,39,14.333,0.3157,0.1321,10435,67635.183,0.05726,0.08565,0.03914,0.04652,0.03861,71006,111223,1.3816,0.01524,5700,35959.582,159,0.03128,0.01731,0.0402,-0.02289,-0.02049,718,718,0,0,0,0.0,0.38965,0.29675,6082,4353,0.5524,0.225,1.1243,0.7212,1.6798,1.2975,0.3746,1.117,0.918,0.3727
14,7500,700,700,527.61,483.445,1400.78,357.18,14.853,45.115,0.15499,0.24985,0.2443,700,0.4966,40,14.041,0.3157,0.13373,8737,55879.574,0.04897,0.07252,0.03277,0.03975,0.03286,72694,105739,1.37459,0.01259,5996,36679.019,182,0.0336,0.02329,0.04069,-0.01741,-0.0154,731,731,0,0,0,0.0,0.4074,0.31592,5272,3465,0.5514,0.2163,1.1308,0.7195,1.6789,1.3059,0.3625,1.1122,0.907,0.3727
15,8000,700,700,535.168,512.399,1381.187,361.5,15.114,48.082,0.15737,0.25243,0.23913,700,0.47684,35,12.14,0.3543,0.15957,9162,57879.326,0.05076,0.06992,0.03667,0.03324,0.02625,76507,103977,1.38362,0.01233,5760,36464.641,182,0.03191,0.02193,0.03926,-0.01733,-0.01712,729,729,0,0,0,0.0,0.4239,0.31452,5349,3813,0.5572,0.2233,1.1346,0.7153,1.6806,1.3048,0.377,1.1083,0.9076,0.3789
16,8500,700,700,546.523,517.846,1384.549,371.75,15.223,44.566,0.15834,0.25547,0.2408,700,0.50268,36,11.09,0.3743,0.17535,9171,58342.606,0.05097,0.07707,0.03055,0.04653,0.04036,78976,100961,1.37291,0.01025,5777,37581.642,181,0.03211,0.02289,0.03931,-0.01642,-0.01538,706,706,0,0,0,0.0,0.43891,0.3196,6087,3084,0.5589,0.236,1.1421,0.7136,1.6849,1.2988,0.3743,1.1151,0.9134,0.379
17,9000,700,700,571.125,551.684,1413.551,387.37,16.173,43.097,0.1589,0.25585,0.24299,700,0.53245,36,10.124,0.4257,0.21023,11710,76727.269,0.06566,0.11631,0.03139,0.08492,0.08186,71974,106370,1.31129,0.01016,5043,32330.878,151,0.02828,0.02145,0.03289,-0.01144,-0.01055,661,661,0,0,0,0.0,0.40357,0.2448,8371,3339,0.5704,0.2545,1.1522,0.7171,1.6617,1.2737,0.3707,1.1179,0.9105,0.3839
18,9500,700,700,557.0,531.807,1351.27,378.32,15.59,45.993,0.16354,0.26034,0.24343,700,0.49716,36,9.925,0.4429,0.22191,9260,59910.617,0.05066,0.07627,0.03158,0.04469,0.03985,78028,104775,1.38807,0.01307,4762,30167.038,139,0.02605,0.01822,0.03188,-0.01365,-0.01413,666,666,0,0,0,0.0,0.42684,0.26338,5951,3309,0.568,0.2537,1.1606,0.7198,1.65,1.2796,0.3816,1.1081,0.9065,0.3759
19,10000,700,700,578.839,546.452,1465.242,394.06,16.267,51.161,0.16496,0.26449,0.24198,700,0.53817,36,10.265,0.4,0.19489,9163,58679.138,0.05055,0.07871,0.02939,0.04932,0.04317,77769,103508,1.34981,0.01179,4403,27168.266,121,0.02429,0.01418,0.03188,-0.0177,-0.01642,654,654,0,0,0,0.0,0.42901,0.29079,6121,3042,0.5633,0.2367,1.1529,0.7163,1.6596,1.283,0.3771,1.1157,0.9092,0.357
20,10500,700,700,598.817,571.272,1371.942,408.16,16.871,43.748,0.16624,0.26474,0.23412,700,0.45283,38,9.517,0.4343,0.2194,7461,46868.964,0.04247,0.06003,0.02816,0.03187,0.02606,78877,96816,1.35323,0.01112,4045,24887.443,98,0.02302,0.01363,0.03068,-0.01705,-0.0164,615,615,0,0,0,0.0,0.44895,0.29407,4735,2726,0.5714,0.2476,1.1492,0.709,1.641,1.2648,0.3701,1.1185,0.9104,0.3523
21,11000,700,700,587.824,549.78,1421.797,402.59,16.344,46.089,0.17054,0.26947,0.23571,700,0.45283,37,9.469,0.4029,0.20579,6926,42676.956,0.03921,0.06075,0.02422,0.03653,0.02963,72493,104142,1.37515,0.00996,3273,20126.44,78,0.01853,0.01135,0.02353,-0.01217,-0.01219,585,585,0,0,0,0.0,0.41041,0.25764,4404,2522,0.5776,0.2354,1.137,0.712,1.6462,1.2639,0.3813,1.1063,0.9061,0.3426
22,11500,700,700,600.125,582.871,1453.734,411.3,16.801,53.177,0.16967,0.27106,0.24233,700,0.45481,37,9.526,0.3929,0.1999,7301,46018.27,0.0422,0.07006,0.02336,0.0467,0.04067,69814,103182,1.3631,0.01027,4008,24349.64,112,0.02317,0.0144,0.0291,-0.01471,-0.0131,620,620,0,0,0,0.0,0.40356,0.25454,4891,2410,0.5801,0.2434,1.1526,0.7156,1.6413,1.253,0.3726,1.1175,0.9022,0.3462
23,12000,700,700,556.783,522.767,1374.718,379.32,15.509,48.167,0.17219,0.27293,0.23402,700,0.45084,33,8.502,0.3843,0.2053,7195,44198.901,0.04152,0.07025,0.0219,0.04835,0.04279,70304,102999,1.42203,0.01167,4593,29098.778,135,0.0265,0.01744,0.03269,-0.01525,-0.01381,670,670,0,0,0,0.0,0.40567,0.25213,4939,2256,0.5864,0.2539,1.1582,0.725,1.6322,1.2288,0.3764,1.1207,0.9019,0.3396
