generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,recip_bias,recip_bias_adj,retal_bias_adj,opp_ledger_pos,opp_ledger_neg,ledger_pos_share,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
10,5500,710,710,472.185,419.327,1398.745,329.46,13.148,51.465,0.21229,0.37053,0.23455,710,0.35083,32,10.491,0.3563,0.17398,0.48744,333,2194,13532.086,0.01382,0.01845,0.00557,0.01288,0.01148,101683,57125,0.01184,0.0145,0.0745,15555,15872,0.09795,0.83713,2.31062,0.01778,7821,60724.436,490,0.04925,0.0403,0.06517,-0.02487,-0.024,882,901,165,160,0,0,0,0,0.039212,0.038119,0.0,0.64029,0.56452,1876,318,0.429,0.2269,1.4186,0.699,1.8808,1.543,0.1689,1.049,0.8443,0.5315
11,6000,687,687,478.863,400.633,1376.486,333.14,13.411,42.448,0.19896,0.34503,0.23451,687,0.40549,26,6.704,0.5313,0.3072,0.52065,323,2028,12983.503,0.01275,0.01591,0.00559,0.01031,0.00893,110394,48618,0.00041,0.00331,0.08167,15923,17985,0.10014,0.84215,2.31332,0.01381,8381,67588.997,529,0.05271,0.03507,0.09274,-0.05767,-0.05753,940,917,180,155,0,0,0,0,0.041112,0.037798,0.0,0.69425,0.55867,1756,272,0.4466,0.2224,1.4027,0.7511,1.8843,1.6522,0.1572,0.9871,0.8504,0.5463
12,6500,709,709,468.767,419.391,1406.346,324.7,13.223,47.736,0.18023,0.30255,0.23371,709,0.42619,20,3.321,0.7433,0.55943,0.46014,371,1979,12840.128,0.01243,0.01516,0.00397,0.01118,0.00928,120417,38751,-0.00039,0.00335,0.07039,16553,17338,0.104,0.84392,2.34705,0.01617,7948,66202.31,523,0.04993,0.03473,0.09718,-0.06246,-0.06212,915,937,145,156,0,0,0,0,0.039468,0.03622,0.0,0.75654,0.4474,1825,154,0.4648,0.2174,1.3997,0.8168,1.8778,1.7994,0.1443,0.9118,0.8584,0.5795
13,7000,735,735,489.824,417.807,1355.109,340.83,13.748,41.597,0.15459,0.26283,0.22084,735,0.3833,15,2.052,0.8653,0.7506,0.43584,327,2083,13384.242,0.01229,0.01416,0.00296,0.01119,0.00978,141195,28340,-0.0064,-0.00289,0.06013,19617,19283,0.11571,0.84263,2.29895,0.0072,7486,60115.043,470,0.04416,0.03329,0.09831,-0.06502,-0.06535,860,886,156,141,0,0,0,0,0.038704,0.03642,0.0,0.83284,0.32974,1999,84,0.4719,0.2145,1.3833,0.8397,1.8845,1.8917,0.123,0.845,0.8712,0.6053
14,7500,697,697,478.674,420.407,1360.103,334.19,13.272,43.226,0.13186,0.22372,0.2302,697,0.41053,8,1.197,0.9713,0.94361,0.33481,314,2190,14023.628,0.01349,0.01392,0.00728,0.00664,0.00557,151689,10709,0.00135,0.00485,0.03206,17765,18328,0.10939,0.84218,2.32868,0.01461,6631,54564.74,422,0.04083,0.03269,0.15622,-0.12354,-0.12372,864,826,151,187,0,0,0,0,0.03952,0.04024,0.0,0.93406,-0.16941,2112,78,0.4858,0.2132,1.3601,0.8436,1.8887,1.9364,0.1073,0.7947,0.8676,0.6192
15,8000,731,731,505.705,454.704,1386.182,355.92,13.985,44.107,0.1317,0.2225,0.21878,731,0.40254,5,1.051,0.9932,0.98638,0.25136,357,2185,14117.939,0.01327,0.01317,0.0211,-0.00793,-0.00789,162635,2038,-0.00346,-0.00075,0.04127,18439,17150,0.11197,0.84337,2.316,0.0087,6319,49926.291,349,0.03837,0.0355,0.26742,-0.23192,-0.23185,793,827,157,174,0,0,0,0,0.038482,0.038626,0.0,0.98762,0.09133,2142,43,0.4814,0.2164,1.3536,0.8516,1.8898,1.953,0.103,0.7905,0.8695,0.615
16,8500,682,682,522.456,475.064,1385.285,368.47,14.462,40.839,0.13607,0.22856,0.22382,682,0.40847,4,1.043,0.9941,0.98832,0.36677,306,2102,13633.018,0.01277,0.01267,0.03557,-0.02291,-0.02312,163812,759,-0.00628,-0.00335,0.03803,18978,15674,0.11532,0.84387,2.3217,0.00571,6187,48110.957,361,0.03759,0.03619,0.33992,-0.30373,-0.30372,861,812,186,211,0,0,0,0,0.040417,0.03998,0.0,0.99539,0.60514,2075,27,0.4829,0.2101,1.3449,0.8422,1.8912,1.9504,0.0992,0.7883,0.8628,0.6167
17,9000,712,712,462.499,392.588,1341.055,320.09,13.039,43.362,0.14317,0.23961,0.23452,712,0.45874,2,1.011,0.9986,0.99719,0.35865,336,2108,13623.672,0.01345,0.01329,0.036,-0.02271,-0.02425,155575,1111,-0.00397,-0.00104,0.04325,18297,17958,0.11677,0.8434,2.34402,0.00806,6980,55310.133,408,0.04455,0.04335,0.21242,-0.16907,-0.16952,859,889,159,209,0,0,0,0,0.038824,0.038269,0.0,0.99291,-1.52335,2068,40,0.4817,0.2134,1.3361,0.8484,1.8923,1.9386,0.1106,0.7828,0.8566,0.6178
18,9500,693,693,503.788,452.491,1378.997,352.15,14.115,47.753,0.14859,0.24839,0.22518,693,0.38157,5,1.044,0.9942,0.9885,0.31444,313,2293,14734.22,0.01369,0.0136,0.04052,-0.02691,-0.02409,166936,543,-0.00505,-0.00098,0.05692,19404,18895,0.11586,0.84264,2.31062,0.01483,7137,56607.911,466,0.04261,0.04148,0.39227,-0.35079,-0.35222,900,881,179,171,0,0,0,0,0.04057,0.042523,0.0,0.99676,0.71807,2271,22,0.4836,0.2063,1.3431,0.85,1.8786,1.952,0.1267,0.7903,0.8553,0.6064
19,10000,751,751,493.277,433.899,1493.999,344.44,13.748,51.598,0.15295,0.25653,0.22169,751,0.39847,3,1.021,0.9973,0.99468,0.28448,374,2147,13647.748,0.01313,0.01304,0.0566,-0.04356,-0.04184,163253,318,-0.00659,-0.00405,0.04763,19413,16479,0.11868,0.84082,2.30984,0.00838,5999,48131.763,354,0.03668,0.03615,0.30818,-0.27203,-0.2714,805,863,160,193,0,0,0,0,0.037296,0.036346,0.0,0.99806,0.63457,2129,18,0.468,0.22,1.3475,0.8342,1.8825,1.9521,0.1369,0.7961,0.854,0.5985
20,10500,688,688,529.291,476.619,1365.368,374.19,14.592,43.173,0.15925,0.26142,0.23074,688,0.4188,2,1.011,0.9985,0.9971,0.29762,318,2132,13531.169,0.01276,0.01271,0.02732,-0.01461,-0.00829,166502,549,-0.00347,-0.00056,0.03743,17500,16351,0.10476,0.84099,2.29262,0.01454,6041,49008.393,384,0.03616,0.0354,0.26594,-0.23053,-0.23218,857,794,166,196,0,0,0,0,0.039761,0.039335,0.0,0.99671,-0.13325,2117,15,0.4478,0.2246,1.3359,0.8246,1.899,1.946,0.1601,0.8077,0.8481,0.6096
21,11000,695,695,505.067,446.264,1429.925,352.78,14.1,45.76,0.16291,0.26804,0.23438,695,0.44105,7,1.067,0.9914,0.98282,0.35524,346,2090,13528.787,0.01308,0.01295,0.04425,-0.0313,-0.02847,159056,678,-0.003,-0.00025,0.0428,17202,15990,0.10769,0.84361,2.3257,0.011,6259,52445.805,404,0.03918,0.03831,0.24484,-0.20653,-0.20797,856,863,161,196,0,0,0,0,0.039848,0.038932,0.0,0.99576,0.75294,2060,30,0.4552,0.2354,1.3326,0.831,1.8965,1.9465,0.1712,0.7958,0.8406,0.6156
22,11500,696,696,502.969,444.096,1407.979,351.68,14.07,42.219,0.16791,0.27414,0.2347,696,0.38137,2,1.02,0.9971,0.99427,0.30366,309,2018,12954.418,0.01233,0.01224,0.0246,-0.01236,-0.01236,162510,1179,-0.00031,0.00251,0.05096,17262,18015,0.10546,0.84251,2.32374,0.00842,7158,59571.874,426,0.04373,0.04181,0.30874,-0.26693,-0.26707,865,866,173,183,0,0,0,0,0.040072,0.037225,0.0,0.9928,-0.25701,1989,29,0.4387,0.2494,1.3332,0.8218,1.8991,1.9411,0.1649,0.7829,0.8331,0.6232
23,12000,689,689,480.883,408.361,1312.397,333.43,13.536,37.36,0.17199,0.2806,0.23312,689,0.37208,3,1.031,0.9956,0.99132,0.36452,296,1903,12301.329,0.01187,0.01167,0.04664,-0.03497,-0.0337,159350,922,-0.00358,0.00014,0.04924,15724,17393,0.09811,0.84343,2.32519,0.00736,7422,63747.542,514,0.04631,0.04454,0.35249,-0.30796,-0.30964,939,932,154,182,0,0,0,0,0.040785,0.035708,0.0,0.99425,0.33724,1860,43,0.4491,0.2597,1.3328,0.8239,1.8936,1.9525,0.1752,0.7811,0.8407,0.6312
