generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,recip_bias,recip_bias_adj,retal_bias_adj,opp_ledger_pos,opp_ledger_neg,ledger_pos_share,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
10,5500,639,639,456.072,400.264,1357.732,313.08,12.875,41.382,0.21035,0.33663,0.24121,639,0.40647,26,9.248,0.3067,0.17543,0.5775,287,1850,11412.794,0.01198,0.01674,0.00268,0.01406,0.01257,102170,52273,0.00698,0.00866,0.06211,15502,18926,0.10037,0.83716,2.28117,0.01243,9200,74250.519,571,0.05957,0.03552,0.10658,-0.07106,-0.07073,951,907,171,148,0,0,0,0,0.043403,0.035721,0.0,0.66154,0.58953,1710,140,0.4827,0.2821,1.5752,0.461,2.0123,1.5897,0.2527,1.054,0.8972,0.5709
11,6000,628,628,450.771,377.443,1404.536,309.46,12.814,45.412,0.20874,0.33688,0.24591,628,0.39936,22,7.047,0.3599,0.21651,0.5735,297,2225,13905.503,0.01478,0.01916,0.00336,0.0158,0.0143,108822,41698,0.01754,0.02096,0.07488,16337,18979,0.10854,0.83892,2.29358,0.00989,9530,79347.364,606,0.06331,0.03353,0.14104,-0.10751,-0.10707,964,953,173,125,0,0,0,0,0.04433,0.044285,0.0,0.72297,0.64642,2085,140,0.5149,0.3028,1.561,0.4205,2.0143,1.5647,0.2564,1.0342,0.9014,0.5859
12,6500,687,687,410.345,322.517,1393.13,275.35,12.058,48.955,0.2053,0.33367,0.24602,687,0.42507,22,6.115,0.3697,0.2399,0.66984,323,2560,16022.42,0.01826,0.02168,0.00242,0.01926,0.01803,115329,24837,0.01012,0.01437,0.0839,16053,18937,0.11453,0.83556,2.28503,0.01172,10393,88117.568,709,0.07415,0.04304,0.21859,-0.17554,-0.17561,1050,1109,167,107,0,0,0,0,0.041271,0.046645,0.0,0.8228,0.76688,2500,60,0.4904,0.3135,1.5247,0.3772,1.9974,1.5725,0.2546,1.0359,0.9046,0.5622
13,7000,694,694,427.331,354.037,1291.76,290.01,12.312,40.694,0.19022,0.3203,0.23547,694,0.3883,15,3.842,0.4049,0.3335,0.69076,304,2584,15938.005,0.01784,0.02007,0.00357,0.01649,0.01546,125282,19598,0.00718,0.01143,0.09531,16490,19509,0.11382,0.83713,2.294,0.01393,10471,87946.824,712,0.07227,0.03858,0.28763,-0.24905,-0.25055,1046,1053,168,95,0,0,0,0,0.041185,0.045931,0.0,0.86473,0.79704,2514,70,0.4771,0.3546,1.4575,0.2898,1.9961,1.5721,0.2567,0.9952,0.9227,0.5061
14,7500,657,657,445.079,345.281,1391.599,301.16,12.896,43.408,0.18796,0.32245,0.25435,657,0.45258,10,3.335,0.4612,0.37653,0.69449,291,2361,14862.014,0.01677,0.01803,0.0042,0.01383,0.01322,127924,12856,0.00312,0.0062,0.07675,15189,19913,0.10789,0.83989,2.30011,0.01609,9836,82035.372,689,0.06987,0.04145,0.3526,-0.31114,-0.31357,1023,986,176,107,0,0,0,0,0.041944,0.045242,0.0,0.90868,0.85353,2307,54,0.4824,0.3555,1.4275,0.252,1.9829,1.564,0.2617,0.9918,0.9209,0.4708
15,8000,638,638,408.835,321.469,1361.53,272.68,12.03,45.575,0.19356,0.31997,0.25704,638,0.42461,8,2.716,0.5925,0.45619,0.70761,278,2665,16940.475,0.0193,0.02033,0.00707,0.01326,0.0127,127358,10745,-0.00297,0.00211,0.08287,16073,21224,0.11638,0.8412,2.29885,0.01313,11436,97991.52,835,0.08281,0.05489,0.41368,-0.35879,-0.36134,1164,1145,171,119,0,0,0,0,0.044371,0.053105,0.0,0.9222,0.85693,2589,76,0.4733,0.3708,1.3911,0.2319,1.977,1.5888,0.3123,0.9526,0.9122,0.3775
16,8500,648,648,429.469,369.113,1455.856,291.51,12.406,53.838,0.19961,0.31883,0.24002,648,0.39154,7,2.385,0.6451,0.50924,0.67657,268,2745,17529.118,0.01913,0.01981,0.00866,0.01115,0.01026,134710,8777,-0.00257,0.00163,0.06466,16434,20677,0.11453,0.84167,2.27616,0.01421,10667,90807.409,776,0.07434,0.05617,0.35331,-0.29714,-0.29792,1093,1103,191,86,0,0,0,0,0.044206,0.054102,0.0,0.93883,0.87536,2669,76,0.4696,0.372,1.3786,0.2177,1.9812,1.5974,0.335,0.9251,0.9105,0.3573
17,9000,631,631,422.915,326.466,1367.504,283.5,12.425,39.129,0.19615,0.30792,0.26096,631,0.38137,8,1.982,0.7559,0.61875,0.61527,249,2774,18057.707,0.02127,0.02186,0.01034,0.01153,0.01162,123673,6771,-0.00803,-0.00164,0.03953,14641,22189,0.11224,0.84435,2.27883,0.01622,10642,93590.121,830,0.08158,0.06292,0.42239,-0.35947,-0.36138,1156,1139,201,84,0,0,0,0,0.04389,0.057235,0.0,0.94809,0.86385,2704,70,0.4372,0.3826,1.3189,0.2134,1.9901,1.6267,0.3809,0.8768,0.8975,0.2736
18,9500,670,670,440.689,365.69,1415.771,300.52,12.847,43.213,0.19725,0.30264,0.23762,670,0.41131,4,1.697,0.8164,0.69607,0.64663,320,2704,17666.881,0.01935,0.02001,0.00542,0.01459,0.01349,133460,6275,-0.01145,-0.00611,0.03888,15678,22240,0.1122,0.84366,2.26272,0.00518,10472,89074.758,751,0.07494,0.06085,0.37466,-0.31381,-0.31528,1114,1153,177,96,0,0,0,0,0.043238,0.052737,0.0,0.95509,0.85225,2670,34,0.4156,0.3891,1.3009,0.2098,2.0105,1.6344,0.3801,0.863,0.8944,0.2575
19,10000,657,657,436.492,347.262,1328.339,294.29,12.904,38.154,0.20366,0.30804,0.2502,657,0.36149,5,1.677,0.8219,0.70364,0.63076,272,2573,16860.315,0.02007,0.02059,0.009,0.01159,0.01079,122428,5777,-0.0149,-0.00909,0.04983,13861,22759,0.10812,0.84401,2.2731,0.00816,10417,89911.293,758,0.08125,0.06601,0.40436,-0.33836,-0.33946,1153,1140,211,98,0,0,0,0,0.042673,0.051325,0.0,0.95494,0.84795,2521,52,0.4186,0.3761,1.3171,0.218,2.008,1.6432,0.3937,0.8506,0.8916,0.2649
20,10500,661,661,422.591,339.375,1331.751,283.46,12.527,41.805,0.19363,0.29561,0.25041,661,0.31185,5,1.485,0.888,0.79895,0.47075,256,2768,18194.05,0.02166,0.02247,0.00841,0.01406,0.01331,120428,7368,-0.00657,-0.00059,0.05614,14342,22152,0.11223,0.84562,2.28557,0.01048,10491,92923.191,764,0.08209,0.0642,0.37446,-0.31025,-0.31203,1151,1155,193,108,0,0,0,0,0.042951,0.05505,0.0,0.94235,0.71323,2706,62,0.4146,0.3689,1.3215,0.2218,2.0229,1.6704,0.4287,0.8062,0.8913,0.2207
21,11000,667,667,428.31,350.914,1325.074,289.56,12.452,43.713,0.19314,0.28893,0.24497,667,0.31901,4,1.348,0.922,0.85536,0.56058,266,2667,17673.344,0.02051,0.02097,0.01186,0.00911,0.00796,123435,6576,-0.01687,-0.01119,0.05727,13799,20032,0.10614,0.84668,2.2699,0.00525,10073,87258.525,732,0.07748,0.06475,0.3163,-0.25155,-0.25171,1139,1145,200,103,0,0,0,0,0.042835,0.052994,0.0,0.94942,0.6503,2589,78,0.4302,0.3532,1.3115,0.2273,2.022,1.6728,0.4663,0.7641,0.8955,0.1998
22,11500,646,646,444.741,370.653,1357.821,303.4,12.723,40.036,0.19067,0.28588,0.24043,646,0.36125,4,1.227,0.9551,0.91375,0.51129,257,2493,16606.414,0.01845,0.01889,0.00971,0.00918,0.00871,128701,6386,-0.00642,-0.00131,0.05667,13794,19500,0.10211,0.84735,2.26247,0.00802,9181,78389.365,661,0.06796,0.06045,0.21939,-0.15894,-0.15875,1059,1038,175,107,0,0,0,0,0.043694,0.051413,0.0,0.95273,0.4519,2431,62,0.4121,0.3559,1.3184,0.2221,1.9949,1.7026,0.482,0.7535,0.8987,0.1702
23,12000,708,708,470.57,428.223,1345.024,326.5,13.255,39.95,0.18783,0.2881,0.22468,708,0.37621,3,1.172,0.9675,0.93684,0.36303,313,2528,16828.593,0.01739,0.01752,0.01324,0.00429,0.00465,140787,4608,-0.01279,-0.00626,0.03938,12902,17682,0.08874,0.84727,2.27708,0.00989,7719,65800.042,548,0.05309,0.04706,0.23741,-0.19036,-0.19061,958,1020,191,101,0,0,0,0,0.040257,0.047538,0.0,0.96831,0.49821,2467,61,0.3939,0.3482,1.3118,0.2247,1.9858,1.7217,0.4942,0.7369,0.8853,0.1619
