generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
10,5500,626,626,493.802,437.908,1393.247,359.95,12.386,44.682,0.23487,0.37881,0.62867,626,0.70011,42,21.086,0.1661,0.07269,0.73979,453,2558,5955.216,0.01113,0.01188,0.00855,0.00332,0.00248,178325,51438,1.0,2.80098,0.01837,934,6375.922,65,0.00407,0.00278,0.00852,-0.00573,-0.00572,669,635,388,185,0,0,0,0,0.031941,0.019026,0.0,0.77613,0.75858,2118,440,0.5087,0.2017,1.5314,0.703,1.9473,1.6155,0.2943,0.9923,0.8008,0.419
11,6000,654,654,479.929,428.145,1370.818,349.85,12.027,38.932,0.23305,0.37735,0.61931,654,0.67956,41,18.201,0.2064,0.08757,0.78063,480,2310,5281.7,0.00988,0.0103,0.00829,0.00201,0.00125,184912,48832,1.0,2.76153,0.02468,889,6157.892,58,0.0038,0.003,0.00686,-0.00386,-0.00386,636,664,361,186,0,0,0,0,0.031232,0.016152,0.0,0.79109,0.77104,1905,405,0.502,0.2055,1.5593,0.7057,1.9497,1.6464,0.2799,0.9713,0.8099,0.4454
12,6500,632,632,498.262,442.624,1373.522,362.75,12.564,40.829,0.23297,0.37663,0.6233,632,0.68277,38,16.569,0.1978,0.09192,0.75192,459,2222,5257.337,0.00959,0.01044,0.00584,0.0046,0.00339,189146,42458,1.0,2.84683,0.03105,871,6038.515,57,0.00376,0.00275,0.00824,-0.00549,-0.00554,656,634,390,172,0,0,0,0,0.032158,0.016637,0.0,0.81668,0.79812,1974,248,0.5191,0.2066,1.5629,0.6978,1.9379,1.6602,0.2707,0.9815,0.8144,0.4544
13,7000,660,660,472.412,418.923,1296.439,341.31,11.975,35.97,0.24295,0.38509,0.61216,660,0.67312,39,16.153,0.2152,0.09705,0.79107,483,2479,5887.41,0.01061,0.01143,0.00641,0.00502,0.00407,195386,38201,1.0,2.8424,0.04478,848,6019.45,58,0.00363,0.00241,0.00987,-0.00746,-0.00748,649,677,365,194,0,0,0,0,0.031342,0.017841,0.0,0.83646,0.81888,2234,245,0.5267,0.2062,1.5636,0.6982,1.9445,1.6509,0.2638,0.9668,0.794,0.4548
14,7500,670,670,486.642,429.836,1369.219,352.84,12.33,40.737,0.23632,0.37863,0.6164,670,0.675,36,13.833,0.2358,0.11142,0.77939,491,2173,5069.879,0.00949,0.00976,0.00825,0.00151,0.00037,187322,41677,1.0,2.84838,0.02899,894,6094.075,65,0.0039,0.00247,0.01034,-0.00787,-0.00799,652,662,356,192,0,0,0,0,0.030836,0.015134,0.0,0.818,0.79518,1829,344,0.491,0.2119,1.5697,0.6816,1.949,1.6871,0.2325,0.9606,0.8122,0.4884
15,8000,669,669,461.371,398.555,1360.482,334.43,11.636,36.775,0.2439,0.39084,0.62377,669,0.71205,38,15.5,0.2167,0.10202,0.79614,495,2355,5580.573,0.00998,0.01086,0.00572,0.00514,0.00426,195579,40399,1.0,2.82023,0.04671,733,5129.056,40,0.00311,0.00176,0.0096,-0.00784,-0.0078,671,670,395,200,0,0,0,0,0.030325,0.016683,0.0,0.8288,0.80935,2124,231,0.5146,0.2008,1.5434,0.6875,1.9564,1.6509,0.237,0.9565,0.7884,0.4799
16,8500,711,711,493.098,436.068,1279.761,360.72,12.338,32.597,0.24562,0.39399,0.59157,711,0.67153,42,15.897,0.2096,0.09701,0.79512,514,1799,4184.202,0.0072,0.00729,0.00687,0.00042,-0.00043,198938,50789,1.0,2.86875,0.04225,765,4908.036,48,0.00306,0.00178,0.00807,-0.00629,-0.00633,629,671,367,191,0,0,0,0,0.030949,0.01177,0.0,0.79662,0.77477,1450,349,0.5061,0.2143,1.5446,0.6817,1.9515,1.6492,0.2439,0.9676,0.7866,0.4926
17,9000,636,636,510.301,456.081,1311.84,372.67,12.786,37.151,0.24509,0.39691,0.60927,636,0.65787,38,13.903,0.2437,0.11186,0.75232,464,2098,4995.529,0.00882,0.00884,0.00875,9e-05,-0.00077,194284,43535,1.0,2.79747,0.02097,1117,7005.108,69,0.0047,0.00243,0.01482,-0.01239,-0.01251,693,618,388,204,0,0,0,0,0.032926,0.015709,0.0,0.81694,0.79388,1717,381,0.4962,0.2071,1.5584,0.6861,1.9626,1.6596,0.2319,0.9669,0.7809,0.4987
18,9500,657,657,489.763,435.074,1291.564,356.76,12.27,37.142,0.25014,0.40291,0.61512,657,0.6935,35,14.228,0.1994,0.10102,0.80032,479,2074,4957.303,0.00907,0.00938,0.00747,0.00191,0.00144,191317,37473,1.0,2.89618,0.04339,1129,7646.016,67,0.00493,0.0025,0.01737,-0.01487,-0.01507,626,647,319,198,0,0,0,0,0.031342,0.015091,0.0,0.83621,0.81781,1794,280,0.5336,0.2051,1.548,0.673,1.9361,1.6543,0.2339,0.9888,0.7805,0.5267
19,10000,648,648,496.908,432.883,1346.492,363.6,12.409,40.7,0.25018,0.40513,0.62146,648,0.66506,31,12.922,0.2099,0.10995,0.8071,461,2050,4779.271,0.00869,0.00855,0.00944,-0.00089,-0.00139,198102,37702,1.0,2.81584,0.05073,565,3809.386,51,0.0024,0.0015,0.00708,-0.00558,-0.00563,643,634,353,205,0,0,0,0,0.031268,0.014751,0.0,0.84011,0.82036,1694,356,0.5273,0.2033,1.5482,0.6677,1.9198,1.6323,0.2316,0.9973,0.7817,0.5415
20,10500,654,654,482.232,436.99,1308.874,348.99,12.252,35.1,0.25726,0.41192,0.60887,654,0.67048,28,11.44,0.263,0.12658,0.80692,461,2283,5136.177,0.00955,0.00957,0.00944,0.00013,-0.0004,201219,37804,1.0,2.82193,0.03198,1034,6494.335,61,0.00433,0.00313,0.01071,-0.00759,-0.00754,687,693,403,182,0,0,0,0,0.03233,0.015707,0.0,0.84184,0.81892,1926,357,0.5472,0.2083,1.5531,0.6746,1.9531,1.6175,0.2442,0.9791,0.7809,0.5284
21,11000,672,672,487.752,416.727,1318.527,355.21,12.253,35.178,0.25343,0.40708,0.60793,672,0.64193,22,9.759,0.2932,0.15004,0.80418,460,1937,4452.266,0.00845,0.00896,0.00526,0.0037,0.003,197737,31374,1.0,2.78862,0.02788,1006,6202.558,64,0.00439,0.00268,0.0152,-0.01253,-0.01264,626,644,327,198,0,0,0,0,0.030889,0.013251,0.0,0.86306,0.83889,1772,165,0.5203,0.2117,1.5714,0.6552,1.9436,1.6447,0.2378,0.977,0.7902,0.5611
22,11500,698,698,487.273,437.975,1355.822,357.45,12.125,44.344,0.24833,0.40643,0.60424,698,0.67405,21,9.47,0.2851,0.14858,0.82426,527,2179,5018.96,0.00902,0.00924,0.00742,0.00182,0.00104,212750,28700,1.0,2.87379,0.03258,1076,7001.432,62,0.00446,0.00258,0.01836,-0.01578,-0.01595,626,652,334,195,0,0,0,0,0.030591,0.014381,0.0,0.88113,0.86039,1966,213,0.4848,0.214,1.5647,0.6438,1.9342,1.6647,0.2335,1.0034,0.8019,0.5667
23,12000,626,626,481.55,409.825,1272.515,349.57,12.072,41.097,0.2456,0.40855,0.62469,626,0.6877,21,9.262,0.2748,0.14917,0.76505,458,1873,4348.075,0.00845,0.0087,0.00678,0.00192,0.00128,192944,28767,1.0,2.84354,0.06033,1094,7499.874,95,0.00493,0.00284,0.01901,-0.01618,-0.01639,686,614,348,209,0,0,0,0,0.032445,0.013892,0.0,0.87025,0.8475,1678,195,0.4655,0.2169,1.5696,0.6359,1.9347,1.6719,0.2284,1.0237,0.7972,0.5724
