generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
10,5500,658,658,491.373,429.631,1325.92,357.38,12.421,41.678,0.22542,0.38696,0.61934,658,0.68282,75,50.888,0.0502,0.02429,0.76024,473,1800,4222.442,0.00778,0.00956,0.00773,0.00183,0.0018,5437,226030,1.0,2.73578,0.02056,1566,9240.219,98,0.00677,0.00938,0.0067,0.00268,0.00268,636,661,323,175,0,0,0,0,0.031073,0.012834,0.0,0.02349,-0.00082,52,1748,0.6588,0.1682,1.4369,0.7923,1.8441,1.5101,0.2903,0.8958,0.8381,0.3738
11,6000,651,651,496.385,453.306,1338.919,361.63,12.436,38.894,0.22369,0.38771,0.62127,651,0.7025,68,47.321,0.0538,0.02602,0.73131,454,1790,4190.347,0.00779,0.00978,0.00774,0.00204,0.00201,5317,224492,1.0,2.68891,0.01397,1097,6558.965,64,0.00477,0.00696,0.00472,0.00224,0.00221,645,638,349,189,0,0,0,0,0.031215,0.012874,0.0,0.02314,-0.00296,52,1738,0.6444,0.175,1.444,0.7953,1.8489,1.5074,0.2775,0.8821,0.8398,0.3707
12,6500,646,646,507.342,448.362,1394.457,370.04,12.81,41.643,0.2266,0.39553,0.60408,646,0.6785,68,45.415,0.0557,0.02739,0.75682,462,2279,5369.725,0.00942,0.01307,0.00933,0.00374,0.00385,6120,235722,1.0,2.75591,0.02062,1107,6732.671,56,0.00458,0.00703,0.00451,0.00251,0.00248,655,650,353,190,0,0,0,0,0.032746,0.016625,0.0,0.02531,-0.00214,80,2199,0.6768,0.1911,1.438,0.7968,1.8607,1.4799,0.2759,0.8659,0.832,0.3601
13,7000,649,649,509.956,463.999,1350.766,373.33,12.751,38.677,0.22745,0.40122,0.6123,649,0.65902,59,42.209,0.0632,0.02879,0.76588,451,1624,3798.474,0.00707,0.01236,0.00693,0.00543,0.00539,6231,223346,1.0,2.81056,0.02894,1185,7375.981,68,0.00516,0.00738,0.0051,0.00228,0.0023,637,640,329,198,0,0,0,0,0.032055,0.011706,0.0,0.02714,-0.0017,77,1547,0.6712,0.2051,1.431,0.7956,1.8627,1.4896,0.2819,0.8807,0.8303,0.3628
14,7500,642,642,478.136,413.947,1312.448,348.42,11.946,39.905,0.23361,0.404,0.61373,642,0.67818,60,40.653,0.0654,0.03029,0.82023,474,2504,6150.297,0.01082,0.0111,0.01081,0.00029,0.00035,6484,224873,1.0,2.94116,0.0631,1066,7585.389,82,0.00461,0.00617,0.00456,0.00161,0.00162,683,676,335,208,0,0,0,0,0.032317,0.01916,0.0,0.02803,-0.00233,72,2432,0.6814,0.1998,1.4148,0.784,1.8511,1.4828,0.2777,0.884,0.8229,0.362
15,8000,658,658,489.969,422.512,1320.641,355.45,12.392,39.725,0.24412,0.41803,0.60213,658,0.66891,60,37.935,0.0881,0.03399,0.75292,483,1818,4296.597,0.00791,0.00935,0.00786,0.00149,0.00147,7271,222634,1.0,2.87569,0.04675,1424,9366.607,95,0.00619,0.0077,0.00614,0.00156,0.00156,648,664,315,191,0,0,0,0,0.032286,0.01306,0.0,0.03163,-0.00245,68,1750,0.7167,0.2064,1.3947,0.7739,1.8651,1.4648,0.291,0.9173,0.8077,0.3406
16,8500,666,666,506.116,446.158,1350.232,368.26,12.907,39.643,0.24301,0.41933,0.60341,666,0.66469,61,38.235,0.0916,0.03447,0.7532,476,2014,4742.067,0.00837,0.01022,0.00831,0.00191,0.00191,8124,232449,1.0,2.84995,0.04618,1092,6940.981,70,0.00454,0.00591,0.00449,0.00142,0.00141,688,696,388,182,0,0,0,0,0.031875,0.01424,0.0,0.03377,-0.00073,83,1931,0.6999,0.2047,1.395,0.7615,1.8654,1.4756,0.2939,0.9249,0.8055,0.3379
17,9000,643,643,502.336,432.391,1395.998,366.98,12.602,41.319,0.24426,0.42613,0.62218,643,0.67106,60,36.172,0.0855,0.03659,0.7028,442,1816,4273.767,0.00803,0.01134,0.00791,0.00343,0.00348,7671,218537,1.0,2.82436,0.02919,867,5576.126,53,0.00383,0.00626,0.00375,0.00251,0.00251,656,633,346,203,0,0,0,0,0.031752,0.013293,0.0,0.03391,-0.00278,87,1729,0.7225,0.2041,1.3921,0.7605,1.8662,1.4809,0.3119,0.9389,0.807,0.3389
18,9500,644,644,516.028,466.246,1348.475,376.24,13.023,39.038,0.24315,0.43085,0.60247,644,0.68181,58,33.743,0.0963,0.04013,0.74126,423,1597,3739.298,0.0067,0.01128,0.00653,0.00475,0.00473,8597,229729,1.0,2.77904,0.02066,932,6651.485,70,0.00391,0.0071,0.00379,0.0033,0.0033,643,644,324,201,0,0,0,0,0.033197,0.011613,0.0,0.03607,-0.00423,97,1500,0.7305,0.2045,1.3942,0.7706,1.8485,1.4736,0.3039,0.9331,0.8084,0.3465
19,10000,649,649,481.319,421.93,1311.702,351.56,11.948,38.739,0.24298,0.43767,0.60898,649,0.67523,57,33.684,0.0832,0.04041,0.75005,460,1929,4539.205,0.00851,0.01342,0.00831,0.00511,0.0051,9093,217479,1.0,2.81208,0.02333,1090,7996.052,68,0.00481,0.00759,0.00469,0.00289,0.00289,641,646,304,219,0,0,0,0,0.031854,0.013988,0.0,0.04013,-0.00029,122,1807,0.731,0.2194,1.3817,0.7712,1.8295,1.4606,0.3323,0.9535,0.7954,0.3586
20,10500,663,663,494.877,420.244,1380.219,360.79,12.448,39.127,0.24548,0.44281,0.61778,663,0.66497,57,34.332,0.0905,0.03869,0.75862,479,2048,4883.04,0.00902,0.01419,0.00882,0.00537,0.00536,8597,218373,1.0,2.81322,0.02148,1048,7171.587,65,0.00462,0.00593,0.00457,0.00137,0.00137,627,641,323,182,0,0,0,0,0.030721,0.01473,0.0,0.03788,-0.00085,122,1926,0.7443,0.2083,1.3837,0.775,1.8225,1.4586,0.3217,0.9377,0.7953,0.3635
21,11000,656,656,499.699,457.192,1413.119,362.38,12.724,45.871,0.24141,0.44464,0.61706,656,0.70154,53,29.907,0.1113,0.04556,0.78119,476,2160,5208.03,0.0092,0.01286,0.00905,0.00381,0.00379,9567,225105,1.0,2.78021,0.02176,1135,7394.53,77,0.00484,0.00784,0.00471,0.00313,0.00313,673,666,364,187,0,0,0,0,0.031804,0.015878,0.0,0.04077,-0.00502,123,2037,0.7247,0.2098,1.3848,0.7676,1.8168,1.4788,0.3263,0.9303,0.8135,0.3682
22,11500,659,659,490.219,452.382,1382.844,355.8,12.342,44.372,0.23777,0.44853,0.61614,659,0.69374,48,27.15,0.1366,0.05271,0.80092,476,1703,4015.111,0.00725,0.00896,0.00716,0.0018,0.00181,11385,223517,1.0,2.81936,0.02408,1291,8597.557,85,0.0055,0.00747,0.0054,0.00207,0.00207,657,660,333,191,0,0,0,0,0.031733,0.012185,0.0,0.04847,-0.00448,102,1601,0.7365,0.23,1.4219,0.7566,1.8302,1.4982,0.3387,0.9379,0.8145,0.3641
23,12000,667,667,489.965,422.615,1386.932,356.45,12.405,45.189,0.24064,0.45447,0.6146,667,0.69282,45,25.706,0.1424,0.05502,0.76931,494,1697,3996.366,0.00713,0.00938,0.00701,0.00238,0.0024,12576,225405,1.0,2.80927,0.03948,1145,7863.903,71,0.00481,0.00859,0.0046,0.00399,0.00399,685,693,365,197,0,0,0,0,0.031373,0.011983,0.0,0.05284,-0.0023,118,1579,0.7371,0.2311,1.4471,0.7724,1.8402,1.5014,0.3351,0.9347,0.816,0.3621
