generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_predator,predator_strikes,predator_kills,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
11,6000,700,700,587.969,543.556,1453.546,402.81,16.32,45.731,0.18204,0.30076,0.23628,700,0.48104,78,29.099,0.2614,0.08696,7066,44574.46,0.04066,0.10743,0.01306,0.09437,0.08957,50823,122979,1.45727,0.01189,3528,24417.741,103,0.0203,0.01147,0.02395,-0.01248,-0.01013,595,595,152,0,0,0,0.040166,0.127356,0.0,0.29242,0.22503,5460,1606,0.5936,0.2312,1.1089,0.7268,1.5492,1.263,0.3334,1.1942,0.8218,0.3003
12,6500,700,700,625.3,618.016,1464.629,428.62,17.342,53.47,0.17856,0.29888,0.23187,700,0.45546,70,23.3,0.3071,0.11288,10514,67518.552,0.05915,0.16139,0.01245,0.14894,0.14662,55736,122016,1.36675,0.0098,3004,21515.588,75,0.0169,0.01111,0.01955,-0.00844,-0.00774,551,551,146,0,0,0,0.040332,0.19291,0.0,0.31356,0.22622,8995,1519,0.5985,0.2252,1.0758,0.7264,1.5449,1.2784,0.3261,1.2074,0.8136,0.2989
13,7000,700,700,578.449,543.721,1395.821,394.49,15.981,41.93,0.17813,0.29943,0.23481,700,0.46129,68,21.156,0.3443,0.13404,9310,59022.868,0.05174,0.12185,0.01169,0.11016,0.10801,65425,114498,1.35633,0.00934,3034,22290.666,99,0.01686,0.00893,0.0214,-0.01247,-0.0119,625,625,145,0,0,0,0.040057,0.168637,0.0,0.36363,0.26513,7972,1338,0.6091,0.2281,1.0741,0.7157,1.5314,1.2922,0.3234,1.2267,0.7976,0.3067
14,7500,700,700,612.292,589.029,1387.026,418.15,17.075,50.564,0.18181,0.29922,0.23531,700,0.51751,65,16.908,0.3857,0.16873,10934,68797.534,0.06183,0.15429,0.01285,0.14144,0.13589,61243,115606,1.36062,0.01152,3043,22321.674,86,0.01721,0.01021,0.02092,-0.01071,-0.01054,566,566,164,0,0,0,0.040352,0.196564,0.0,0.3463,0.21361,9449,1485,0.6169,0.2291,1.0538,0.7362,1.5389,1.299,0.3269,1.2408,0.7999,0.3075
15,8000,700,700,587.108,569.468,1464.941,402.34,16.098,53.941,0.18277,0.3012,0.23566,700,0.52758,68,17.074,0.3714,0.16102,11175,71075.015,0.06474,0.14406,0.01408,0.12998,0.12493,67278,105332,1.3425,0.01226,2819,20955.441,87,0.01633,0.01191,0.01916,-0.00725,-0.00732,605,605,166,0,0,0,0.040059,0.203071,0.0,0.38977,0.27265,9692,1483,0.6086,0.2303,1.0651,0.7369,1.5418,1.3103,0.3286,1.23,0.8057,0.3097
16,8500,700,700,568.045,536.733,1412.127,387.78,15.484,38.572,0.17774,0.29148,0.23785,700,0.47135,64,12.08,0.4843,0.25028,15131,97816.829,0.08565,0.18316,0.01651,0.16665,0.16172,73291,103379,1.33105,0.01269,2708,19562.919,68,0.01533,0.0118,0.01783,-0.00603,-0.00647,604,604,181,0,0,0,0.039859,0.279477,0.0,0.41485,0.2195,13424,1707,0.6254,0.2158,1.0432,0.7149,1.5304,1.3594,0.3285,1.2668,0.7833,0.2912
17,9000,700,700,593.257,607.346,1505.641,406.85,16.054,56.677,0.17765,0.29143,0.23313,700,0.48281,60,10.805,0.4957,0.26384,13272,84667.894,0.07614,0.15583,0.0137,0.14213,0.13728,76578,97735,1.29233,0.01077,2206,16336.174,57,0.01266,0.01131,0.01371,-0.0024,-0.00238,558,558,151,0,0,0,0.040156,0.241908,0.0,0.43931,0.23836,11933,1339,0.6268,0.2144,1.0345,0.721,1.5378,1.3666,0.3266,1.2721,0.7789,0.2826
18,9500,700,700,567.491,535.282,1464.301,387.08,15.469,49.092,0.17415,0.28783,0.23647,700,0.47624,57,9.342,0.54,0.30585,14338,92235.245,0.08293,0.16377,0.01651,0.14726,0.14183,77983,94911,1.30191,0.01116,2046,15342.555,44,0.01183,0.00869,0.01441,-0.00572,-0.0057,582,582,146,0,0,0,0.040063,0.263529,0.0,0.45105,0.20917,12771,1567,0.6272,0.2069,1.0236,0.7119,1.5239,1.3867,0.3236,1.2739,0.7656,0.2826
19,10000,700,700,624.202,629.082,1453.861,428.23,17.002,53.397,0.16883,0.2775,0.23597,700,0.50915,50,7.577,0.59,0.36015,15846,102797.216,0.09032,0.17089,0.01646,0.15443,0.14858,83908,91540,1.2702,0.00966,1664,12122.351,38,0.00948,0.00837,0.01051,-0.00214,-0.00262,511,511,125,0,0,0,0.040097,0.293706,0.0,0.47825,0.18457,14339,1507,0.6284,0.1969,0.9965,0.7187,1.512,1.4234,0.3254,1.293,0.7501,0.2778
20,10500,700,700,587.086,539.016,1415.283,401.08,15.807,45.434,0.16541,0.27229,0.2411,700,0.49828,50,6.454,0.6243,0.40021,17579,115965.286,0.09919,0.18113,0.02051,0.16062,0.15317,86818,90409,1.29045,0.01217,1620,13120.999,44,0.00914,0.01147,0.0069,0.00457,0.00383,594,594,161,0,0,0,0.039884,0.331329,0.0,0.48987,0.14948,15725,1854,0.6151,0.1942,1.0131,0.7139,1.5088,1.4365,0.3451,1.2952,0.7305,0.2902
21,11000,700,700,606.299,586.18,1321.24,414.46,16.763,44.005,0.16736,0.26977,0.23742,700,0.4738,50,6.638,0.6143,0.3878,20106,134739.922,0.11196,0.19911,0.01841,0.1807,0.17454,92975,86602,1.22691,0.00965,1776,13362.112,38,0.00989,0.00897,0.01088,-0.00191,-0.00193,555,555,134,0,0,0,0.040138,0.384971,0.0,0.51774,0.21226,18512,1594,0.6165,0.1924,0.9983,0.7013,1.494,1.448,0.3439,1.3051,0.7229,0.2876
22,11500,700,700,583.473,568.078,1327.969,396.49,15.738,35.7,0.16333,0.26547,0.23637,700,0.45217,49,6.056,0.6143,0.39388,19992,135052.778,0.11342,0.20675,0.01784,0.18891,0.18368,89186,87072,1.28486,0.01035,1843,13640.152,35,0.01046,0.01118,0.00972,0.00146,0.00105,575,575,161,0,0,0,0.039864,0.385865,0.0,0.506,0.18497,18439,1553,0.5911,0.1877,1.0098,0.6891,1.4976,1.4421,0.3673,1.2971,0.7144,0.3022
23,12000,700,700,624.616,597.396,1357.763,427.92,17.137,35.802,0.16255,0.25532,0.23355,700,0.51021,51,7.139,0.53,0.31104,18657,123984.821,0.1049,0.20184,0.01515,0.18669,0.18063,85502,92349,1.22888,0.01024,1319,9909.17,30,0.00742,0.00782,0.00704,0.00079,0.00024,520,520,129,0,0,0,0.04002,0.354242,0.0,0.48075,0.24633,17258,1399,0.6045,0.176,0.9815,0.6683,1.4974,1.4499,0.3741,1.3155,0.7025,0.2939
