generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_predator,predator_strikes,predator_kills,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
11,6000,700,700,631.486,528.662,1571.551,444.7,15.003,71.036,0.19556,0.37374,0.43283,700,0.97765,41,7.824,0.57,0.33482,169632,1346053.778,0.72868,0.89828,0.25942,0.63886,0.63353,170994,61799,1.08659,0.00199,3324,21824.74,68,0.01428,0.00347,0.04419,-0.04072,-0.04063,461,461,105,0,0,0,0.035699,3.845868,0.0,0.73453,0.60091,153600,16032,0.1979,0.0909,0.8541,0.8131,1.5737,1.3317,0.5378,0.4926,0.9395,0.3527
12,6500,700,700,594.481,664.712,1724.893,406.35,15.043,88.847,0.19348,0.37256,0.44658,700,0.97804,38,7.182,0.5914,0.35833,191315,1516313.874,0.772,0.89807,0.30119,0.59688,0.59693,195475,52342,1.07796,0.0019,1768,11574.683,26,0.00713,0.00129,0.02894,-0.02765,-0.02762,481,481,62,0,0,0,0.039096,4.332325,0.0,0.78879,0.67084,175550,15765,0.1822,0.0843,0.8415,0.8111,1.5507,1.3239,0.5513,0.4624,0.948,0.3526
13,7000,700,700,654.121,573.957,1905.736,467.06,14.91,108.836,0.19369,0.36432,0.49673,700,0.98436,37,5.934,0.6371,0.41374,210571,1671840.163,0.82835,0.94227,0.3376,0.60467,0.60427,206313,47891,1.07778,0.0017,1394,8844.738,12,0.00548,0.00058,0.0266,-0.02602,-0.0259,388,388,67,0,0,0,0.036165,4.776686,0.0,0.8116,0.67865,194403,16168,0.1656,0.0785,0.8243,0.8204,1.5413,1.3247,0.5658,0.4375,0.9508,0.3474
14,7500,700,700,579.975,439.74,1743.588,384.57,15.776,98.209,0.18689,0.35957,0.51612,700,0.98736,39,5.426,0.6671,0.45099,215896,1710594.343,0.82676,0.91493,0.35002,0.56491,0.56562,220379,40755,1.08948,0.00152,1119,7428.257,17,0.00429,0.00118,0.0211,-0.01993,-0.01982,523,523,69,0,0,0,0.036388,4.887412,0.0,0.84393,0.71573,201631,14265,0.1581,0.0731,0.8067,0.8255,1.5198,1.3129,0.5782,0.4045,0.9539,0.354
15,8000,700,700,627.56,588.734,1989.084,475.37,10.583,119.635,0.18442,0.34695,0.57478,700,0.98834,31,4.34,0.71,0.50946,242296,1922884.571,0.88266,0.94689,0.4306,0.51629,0.5133,240356,34150,1.0748,0.00117,1096,7002.121,15,0.00399,0.00169,0.02023,-0.01855,-0.01862,363,363,53,0,0,0,0.032814,5.493956,0.0,0.87559,0.74639,227591,14705,0.1389,0.0686,0.778,0.8332,1.5209,1.3207,0.5845,0.3614,0.9492,0.3454
16,8500,700,700,580.306,414.707,1958.777,383.34,15.924,117.837,0.17309,0.33341,0.59351,700,0.99093,31,3.623,0.7557,0.57476,248952,1972391.018,0.89799,0.95288,0.41136,0.54153,0.53453,249130,28102,1.09034,0.00118,1124,7505.474,16,0.00405,0.00169,0.02498,-0.02329,-0.0232,505,505,47,0,0,0,0.032596,5.635403,0.0,0.89863,0.76163,237392,11560,0.1307,0.0618,0.7697,0.8402,1.5085,1.3141,0.5973,0.318,0.9585,0.3454
17,9000,700,700,626.933,629.131,2111.341,492.63,8.217,138.911,0.17547,0.33432,0.64209,700,0.9923,27,3.391,0.7614,0.58447,260027,2062485.765,0.91193,0.94899,0.37617,0.57282,0.56963,266691,18449,1.07493,0.00096,1050,6403.658,12,0.00368,0.00201,0.02786,-0.02585,-0.02583,347,347,52,0,0,0,0.029226,5.892816,0.0,0.9353,0.84429,253087,6940,0.1357,0.0634,0.7485,0.8463,1.5072,1.3031,0.6078,0.3222,0.9582,0.3349
18,9500,700,700,596.739,462.336,2145.747,393.42,16.678,146.381,0.16275,0.31439,0.64361,700,0.99283,25,2.659,0.8186,0.67279,261325,2070183.314,0.9109,0.94998,0.36875,0.58123,0.57444,267596,19292,1.09419,0.00103,2039,13534.636,18,0.00711,0.00602,0.02224,-0.01622,-0.01605,511,511,52,0,0,0,0.030222,5.914809,0.0,0.93275,0.79449,254211,7114,0.1165,0.0587,0.7412,0.8563,1.5004,1.3074,0.6171,0.2715,0.9635,0.3404
19,10000,700,700,601.228,627.758,2077.129,466.23,8.251,138.179,0.17333,0.3333,0.64658,700,0.99311,20,2.861,0.7814,0.617,265212,2100647.791,0.89811,0.93468,0.42582,0.50886,0.5039,274076,21225,1.07932,0.00118,1698,11097.114,12,0.00575,0.00398,0.0286,-0.02462,-0.02457,375,375,52,0,0,0,0.028648,6.001851,0.0,0.92812,0.81233,256174,9038,0.1359,0.0615,0.7423,0.8441,1.5135,1.3065,0.6153,0.3141,0.9619,0.3315
20,10500,700,700,644.533,494.32,2137.592,424.87,18.82,140.788,0.16962,0.32849,0.63787,700,0.99231,22,2.986,0.78,0.61384,257149,2031917.692,0.9034,0.93812,0.56871,0.36941,0.36443,257894,26752,1.09255,0.00127,1555,10684.934,11,0.00546,0.00443,0.0154,-0.01097,-0.01098,453,453,43,0,0,0,0.030205,5.805479,0.0,0.90602,0.75662,241935,15214,0.1146,0.0612,0.7362,0.847,1.5058,1.3009,0.6109,0.2948,0.9623,0.331
21,11000,700,700,577.425,623.885,1922.217,439.68,8.633,120.855,0.17313,0.32863,0.6586,700,0.99352,22,2.767,0.7757,0.61273,262971,2075381.401,0.89969,0.92238,0.68466,0.23772,0.23692,264390,27900,1.08416,0.00156,1345,8424.341,18,0.0046,0.00371,0.01308,-0.00938,-0.0094,422,422,42,0,0,0,0.027833,5.929661,0.0,0.90455,0.75352,243869,19102,0.1259,0.0622,0.7182,0.8481,1.5103,1.3046,0.6013,0.2982,0.9614,0.3296
22,11500,700,700,651.893,548.907,2153.539,450.4,16.641,142.361,0.16696,0.3187,0.67007,700,0.99368,21,2.456,0.81,0.66328,257435,2026646.908,0.89976,0.9249,0.72103,0.20387,0.20441,250834,35280,1.0926,0.00131,1220,8652.529,3,0.00426,0.00363,0.00876,-0.00513,-0.00506,407,407,41,0,0,0,0.027862,5.79042,0.0,0.87669,0.6338,231997,25438,0.1001,0.0639,0.7082,0.8563,1.4882,1.2991,0.6054,0.2735,0.9594,0.3379
23,12000,700,700,576.855,616.329,1490.957,433.06,9.371,57.284,0.17523,0.33704,0.66589,700,0.99312,19,2.597,0.7871,0.6288,262462,2065688.015,0.88714,0.91448,0.67242,0.24206,0.24009,262437,33415,1.09008,0.00136,2254,14700.658,12,0.00762,0.00589,0.02122,-0.01533,-0.01525,435,435,35,0,0,0,0.025957,5.901966,0.0,0.88706,0.69573,239993,22469,0.1253,0.0686,0.713,0.8487,1.4854,1.3102,0.5863,0.3055,0.9567,0.3281
